City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
77,Tomatlan,MX,19.93,-105.25,90.28,47,100,1.97,overcast clouds,0.0,0
78,Alyangula,AU,-13.85,136.42,68.0,100,9,11.5,clear sky,0.0,0
79,Beyla,GN,8.68,-8.63,75.6,89,72,5.55,moderate rain,1.26,0
80,Wahiawa,US,21.5,-158.02,77.0,88,90,6.93,overcast clouds,0.0,0
81,Puerto Narino,CO,-3.77,-70.38,87.8,70,75,3.36,broken clouds,0.0,0
82,Saint Anthony,US,45.02,-93.22,75.0,78,20,9.17,few clouds,0.0,0
83,Geraldton,AU,-28.77,114.6,46.4,81,1,9.17,clear sky,0.0,0
84,Batemans Bay,AU,-35.72,150.18,46.0,93,100,3.0,overcast clouds,0.0,0
85,Albany,US,42.6,-73.97,87.01,76,3,2.73,clear sky,0.0,0
86,Nikolskoye,RU,59.7,30.79,64.4,48,20,6.71,few clouds,0.0,0
87,Chuy,UY,-33.7,-53.46,51.98,66,47,14.52,scattered clouds,0.0,0
88,Sabinas,MX,27.85,-101.12,91.42,51,2,5.99,clear sky,0.0,0
89,Iisalmi,FI,63.56,27.19,62.6,55,20,12.75,shower rain,0.0,0
90,Ugoofaaru,MV,5.67,73.0,83.79,75,95,8.93,overcast clouds,0.0,0
91,Yatou,CN,37.15,122.38,68.95,85,100,3.18,overcast clouds,0.0,0
92,Havoysund,NO,71.0,24.66,51.8,81,75,16.11,broken clouds,0.0,0
93,Zhigansk,RU,66.77,123.37,55.72,61,17,8.72,few clouds,0.0,0
94,Dmitriyevskoye,RU,45.81,41.9,73.33,66,72,9.62,broken clouds,0.0,0
95,Hasaki,JP,35.73,140.83,75.2,94,75,9.17,shower rain,0.0,0
96,Saint-Pierre,RE,-21.34,55.48,69.8,83,75,20.8,broken clouds,0.0,0
97,Ust-Kuyga,RU,70.02,135.6,49.82,83,50,4.88,scattered clouds,0.0,0
98,Curvelo,BR,-18.76,-44.43,85.96,29,0,2.17,clear sky,0.0,0
99,Chichihualco,MX,17.68,-99.65,75.52,63,99,3.18,overcast clouds,0.0,0
100,Atuona,PF,-9.8,-139.03,79.39,76,11,13.98,few clouds,0.0,0
101,Qaanaaq,GL,77.48,-69.36,48.02,51,15,5.93,few clouds,0.0,0
102,Lima,PE,-12.04,-77.03,60.8,82,90,4.7,overcast clouds,0.0,0
103,Taoudenni,ML,22.68,-3.98,110.89,6,20,5.06,few clouds,0.0,0
104,Tuktoyaktuk,CA,69.45,-133.04,37.4,74,90,9.17,overcast clouds,0.0,0
105,Yellowknife,CA,62.46,-114.35,60.8,63,75,4.7,broken clouds,0.0,0
106,Hambantota,LK,6.12,81.12,80.83,80,76,16.15,broken clouds,0.0,0
107,Otane,NZ,-39.88,176.63,42.01,86,61,5.12,broken clouds,0.0,0
108,Touros,BR,-5.2,-35.46,82.4,74,75,11.41,shower rain,0.0,0
109,Ngunguru,NZ,-35.62,174.5,41.0,95,0,4.0,clear sky,0.0,0
110,Solnechnyy,RU,50.72,136.63,52.41,94,100,5.48,overcast clouds,0.0,0
111,Norman Wells,CA,65.28,-126.83,55.4,71,75,2.24,broken clouds,0.0,0
112,Chokurdakh,RU,70.63,147.92,44.56,81,99,10.31,overcast clouds,0.0,0
113,Sept-Iles,CA,50.2,-66.38,64.4,88,75,6.93,broken clouds,0.0,0
114,Talnakh,RU,69.49,88.4,62.6,72,3,24.61,clear sky,0.0,0
115,Ouidah,BJ,6.36,2.09,79.09,77,99,11.79,overcast clouds,0.0,0
116,Saint-Augustin,CA,51.23,-58.65,57.74,91,100,14.27,overcast clouds,0.0,0
117,Bardiyah,LY,31.76,25.09,78.57,68,0,10.58,clear sky,0.0,0
118,Champerico,GT,14.3,-91.92,89.6,59,100,6.93,overcast clouds,0.0,0
119,Hami,CN,42.8,93.45,81.32,17,9,19.08,clear sky,0.0,0
120,Sola,VU,-13.88,167.55,80.04,83,80,24.94,light rain,0.15,0
121,Olafsvik,IS,64.89,-23.71,52.3,68,56,11.41,broken clouds,0.0,0
122,Atherton,GB,53.52,-2.49,59.0,79,100,3.0,light rain,0.11,0
123,Ulaanbaatar,MN,47.91,106.88,55.4,87,40,6.71,scattered clouds,0.0,0
124,Bonthe,SL,7.53,-12.51,78.24,86,97,12.3,moderate rain,1.09,0
125,Banda Aceh,ID,5.56,95.32,80.2,74,100,3.51,overcast clouds,0.0,0
126,Avera,US,33.19,-82.53,84.2,78,75,5.82,broken clouds,0.0,0
127,Pemba,MZ,-12.97,40.52,76.96,80,0,16.33,clear sky,0.0,0
128,Aswan,EG,24.09,32.91,97.86,17,0,13.62,clear sky,0.0,0
129,Marawi,PH,8.0,124.29,75.0,89,68,5.99,broken clouds,0.0,0
130,Kem,RU,64.96,34.58,63.07,66,76,7.14,broken clouds,0.0,0
131,Lebu,CL,-37.62,-73.65,53.33,93,100,23.33,light rain,0.2,0
132,Portland,US,45.52,-122.68,63.0,77,75,1.99,broken clouds,0.0,0
133,Hobart,AU,-42.88,147.33,37.4,93,0,8.05,clear sky,0.0,0
134,Shawinigan,CA,46.57,-72.75,84.2,62,1,10.29,clear sky,0.0,0
135,Saint George,US,37.1,-113.58,91.0,8,1,3.36,clear sky,0.0,0
136,Gimli,CA,50.63,-96.99,66.99,99,75,8.01,broken clouds,0.0,0
137,Oranjemund,NA,-28.55,16.43,57.79,68,43,15.73,scattered clouds,0.0,0
138,Leningradskiy,RU,69.38,178.42,46.72,76,44,10.22,scattered clouds,0.0,0
139,Takaka,NZ,-40.85,172.8,37.99,86,2,1.99,clear sky,0.0,0
140,Kerchevskiy,RU,59.95,56.29,77.38,71,0,4.07,clear sky,0.0,0
141,Jining,CN,35.41,116.58,70.92,78,48,6.24,scattered clouds,0.0,0
142,Hofn,IS,64.25,-15.21,57.2,50,75,19.46,light intensity shower rain,0.0,0
143,Usak,TR,38.5,29.42,75.99,31,33,16.8,scattered clouds,0.0,0
144,Mednogorsk,RU,51.41,57.59,72.19,62,0,7.76,clear sky,0.0,0
145,Mahebourg,MU,-20.41,57.7,71.6,60,20,16.11,few clouds,0.0,0
146,Phayakkhaphum Phisai,TH,15.52,103.19,83.8,74,100,6.02,overcast clouds,0.0,0
147,Severo-Kurilsk,RU,50.68,156.12,48.88,93,100,16.87,moderate rain,1.1,0
148,Caravelas,BR,-17.71,-39.25,81.59,57,0,8.59,clear sky,0.0,0
149,Esperance,AU,-33.87,121.9,48.2,76,90,4.7,overcast clouds,0.0,0
150,Longyearbyen,SJ,78.22,15.64,48.2,76,75,5.82,light rain,0.0,0
151,Gambela,ET,8.25,34.58,74.1,85,97,2.46,overcast clouds,0.0,0
152,Flinders,AU,-34.58,150.86,57.99,90,100,1.01,overcast clouds,0.0,0
153,Teahupoo,PF,-17.83,-149.27,69.8,77,20,4.7,few clouds,0.0,0
154,Villa Carlos Paz,AR,-31.42,-64.5,61.0,38,0,16.11,clear sky,0.0,0
155,Coihueco,CL,-36.62,-71.83,46.4,81,90,10.29,overcast clouds,0.0,0
156,Nome,US,64.5,-165.41,54.0,87,75,6.93,broken clouds,0.0,0
157,Kaitangata,NZ,-46.28,169.85,46.99,74,47,5.01,scattered clouds,0.0,0
158,Ostrovnoy,RU,68.05,39.51,53.11,93,97,9.24,light rain,0.16,0
159,Bluff,NZ,-46.6,168.33,49.55,77,93,19.82,light rain,0.15,0
160,Marsh Harbour,BS,26.54,-77.06,86.23,70,100,10.83,overcast clouds,0.0,0
161,Anloga,GH,5.79,0.9,82.4,74,20,12.75,few clouds,0.0,0
162,Bethel,US,41.37,-73.41,88.0,70,5,1.99,light rain,0.17,0
163,Hokitika,NZ,-42.72,170.97,42.15,67,66,3.44,broken clouds,0.0,0
164,Turochak,RU,52.26,87.12,60.22,91,94,2.57,overcast clouds,0.0,0
165,Praia Da Vitoria,PT,38.73,-27.07,73.4,69,75,4.92,broken clouds,0.0,0
166,Hanchuan,CN,30.65,113.77,82.4,78,100,4.47,overcast clouds,0.0,0
167,Dingle,PH,11.0,122.67,77.79,87,62,2.62,light rain,0.55,0
168,Vardo,NO,70.37,31.11,48.2,93,75,19.46,broken clouds,0.0,0
169,Tuatapere,NZ,-46.13,167.68,43.99,82,88,7.74,overcast clouds,0.0,0
170,Nishihara,JP,26.18,127.76,82.4,88,40,9.17,scattered clouds,0.0,0
171,Kolaras,IN,25.23,77.6,86.47,66,49,6.51,scattered clouds,0.0,0
172,Port Hedland,AU,-20.32,118.57,60.8,21,0,8.05,clear sky,0.0,0
173,Colares,PT,38.8,-9.45,77.0,68,20,14.99,few clouds,0.0,0
174,Vila Franca Do Campo,PT,37.72,-25.43,71.6,60,75,8.05,broken clouds,0.0,0
175,Atasu,KZ,48.68,71.64,70.5,52,3,9.24,clear sky,0.0,0
176,Guerrero Negro,MX,27.98,-114.06,76.03,53,49,6.82,scattered clouds,0.0,0
177,Lata,PT,40.16,-8.33,82.0,55,0,8.99,clear sky,0.0,0
178,Chernyshevskiy,RU,63.01,112.47,57.67,95,100,3.42,overcast clouds,0.0,0
179,Bilibino,RU,68.05,166.44,56.52,86,97,6.82,light rain,0.29,0
180,Rio Gallegos,AR,-51.62,-69.22,33.8,74,49,17.22,scattered clouds,0.0,0
181,Ranong,TH,9.97,98.63,80.69,78,100,5.14,overcast clouds,0.0,0
182,Saldanha,ZA,-33.01,17.94,53.6,93,100,9.17,light rain,0.88,0
183,Umm Lajj,SA,25.02,37.27,84.7,60,0,6.71,clear sky,0.0,0
184,San Patricio,MX,19.22,-104.7,87.8,74,40,11.41,scattered clouds,0.0,0
185,Orlik,RU,52.52,99.83,50.4,69,86,1.81,overcast clouds,0.0,0
186,Orange Cove,US,36.62,-119.31,87.01,30,1,4.52,clear sky,0.0,0
187,Sur,OM,22.57,59.53,91.67,49,100,11.3,overcast clouds,0.0,0
188,Mahibadhoo,MV,3.78,72.97,84.13,72,100,8.21,overcast clouds,0.0,0
189,Faanui,PF,-16.48,-151.75,76.17,80,37,24.74,scattered clouds,0.0,0
190,Oistins,BB,13.07,-59.53,87.8,62,40,21.92,scattered clouds,0.0,0
191,Fenoarivo Atsinanana,MG,-17.37,49.42,68.76,78,0,10.18,clear sky,0.0,0
192,Mareeba,AU,-17.0,145.43,71.01,92,48,1.99,scattered clouds,0.0,0
193,Arlit,NE,18.74,7.39,102.45,17,94,12.39,overcast clouds,0.0,0
194,Tartus,SY,34.89,35.89,82.4,61,75,6.93,broken clouds,0.0,0
195,Golden,US,39.76,-105.22,84.0,15,20,7.0,few clouds,0.0,0
